
2025/02/22 (13:41:05) | ===> btop++ v.1.4.0
2025/02/22 (13:41:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/22 (14:39:00) | ===> btop++ v.1.4.0
2025/02/22 (14:39:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/22 (14:40:29) | ===> btop++ v.1.4.0
2025/02/22 (14:40:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/22 (15:34:07) | ===> btop++ v.1.4.0
2025/02/22 (15:34:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/23 (15:13:53) | ===> btop++ v.1.4.0
2025/02/23 (15:13:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/23 (15:18:38) | ===> btop++ v.1.4.0
2025/02/23 (15:18:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
